filename,date,items
anguish_1_0,January 1,"Greater Soul, Adamantine, Perfect Baldur, Steel, Pure Darkstone, Darkstone, Soul, Ortanite, Mandrake, Twilightstone"
anguish_1_0,January 2,"Iron, Earthstone, Scalestone, Lyonite, Elstone, Vampiric Ore"
anguish_1_0,January 3,"Hardened Steel, Nightshade, Lesser Balorite, Titanium, Steel, Platinum, Draconite, Dayleaf"
anguish_1_0,January 4,"Undead Bone, Waterstone, Mandrake, Mythril, Lesser Balorite, Lyonite, Silver, Witchstone, Eyestone, Platinum"
anguish_1_0,January 5,"Mandrake, Mythril, Stone, Ancient Stone, Waterstone, Pure Lightstone, Wood, Balorite, Vampiric Ore"
anguish_1_0,January 6,"Cavestone, Soul, Demonic Ore, Mandrake, Dragonite, Scalestone, Lightningstone, Waterstone, Baldur, Firestone"
anguish_1_0,January 7,"Demonic Ore, Firestone, Mandrake, Silphium, Vampiric Ore, Elstone, Balorite, Lyonite, Titanium"
anguish_1_0,January 8,"Leather, Soul, Lightningstone, Broken Statue, Red Draconite, Realm Ore, Wood, Firestone, Orichalcum"
anguish_1_0,January 9,"Mythril, Greater Soul, Elstone, Hardened Steel, Cavestone, Witchstone, Baldur, Steel, Soul, Orichalcum"
anguish_1_0,January 10,"Dayleaf, Dragonite, Cursed Ortanite, Mythril, Iron, Greater Soul, Sandstone, Adamantine, Wolf's Blood"
anguish_1_0,January 11,"Vampiric Ore, Silphium, Wood, Silk, Cavestone"
anguish_1_0,January 12,"Stone, Lesser Balorite, Twilightstone, Perfect Baldur, Nightshade, Iron, Hide, Balorite, Baldur, Bone"
anguish_1_0,January 13,"Red Draconite, Firestone, Waterstone, Avalon Ore, Soul, Undead Bone, Twilightstone, Broken Statue, Scalestone, Ortanite"
anguish_1_0,January 14,"Mandrake, Dragonite, Fogstone, Skystone, Earthstone, Silk, Hardened Steel, Wood"
anguish_1_0,January 15,"Broken Statue, Lyonite, Cursed Ortanite, Darkstone, Titanium, Hardened Steel, Sandstone"
anguish_1_0,January 16,"Firestone, Pure Waterstone, Elstone, Mythril, Pure Darkstone, Adamantine, Undead Bone"
anguish_1_0,January 17,"Stone, Realm Ore, Hide, Pure Draconite, Red Draconite, Eyestone"
anguish_1_0,January 18,"Pure Draconite, Soul, Wood, Titanium, Perfect Runestone, Mythril, Ancient Stone, Fogstone, Silk"
anguish_1_0,January 19,"Baldur, Pure Draconite, Adamantine, Ancient Stone, Lyonite, Hide, Dragonite"
anguish_1_0,January 20,"Lesser Balorite, Solarite, Red Draconite, Mythril, Greater Soul, Cursed Ortanite, Pure Draconite, Nightshade, Wood, Broken Statue"
anguish_1_0,January 21,"Twilightstone, Soul, Draconite, Leather, Earthstone, Lightstone, Bone, Skystone, Perfect Runestone, Demonic Ore"
anguish_1_0,January 22,"Lightningstone, Wolf's Blood, Firestone, Greater Soul, Ortanite"
anguish_1_0,January 23,"Darkstone, Cavestone, Hardened Steel, Waterstone, Witchstone, Vampiric Ore, Baldur, Red Draconite, Dayleaf"
anguish_1_0,January 24,"Runestone, Vampiric Ore, Hide, Platinum, Red Draconite, Skystone"
anguish_1_0,January 25,"Avalon Ore, Solarite, Dragonite, Scalestone, Elstone, Sandstone"
anguish_1_0,January 26,"Wood, Pure Waterstone, Elstone, Adamantine, Skystone, Darkstone, Bone, Mandrake"
anguish_1_0,January 27,"Sandstone, Stone, Leather, Cavestone, Fogstone, Waterstone, Demonic Ore, Nightstone"
anguish_1_0,January 28,"Baldur, Perfect Runestone, Vampiric Ore, Dragonite, Cavestone, Steel, Draconite, Orichalcum"
anguish_1_0,January 29,"Leather, Ancient Stone, Wolf's Blood, Demonic Ore, Mythril, Pure Darkstone, Orichalcum, Platinum"
anguish_1_0,January 30,"Bone, Nightshade, Perfect Runestone, Steel, Silphium, Leather, Lightstone, Runestone"
anguish_1_0,January 31,"Cavestone, Hardened Steel, Iron, Mythril, Greater Soul, Perfect Runestone"
anguish_1_0,February 1,"Orichalcum, Lightstone, Lesser Balorite, Twilightstone, Ortanite"
anguish_1_0,February 2,"Orichalcum, Ortanite, Nightstone, Draconite, Pure Draconite, Firestone"
anguish_1_0,February 3,"Nightstone, Darkstone, Dayleaf, Titanium, Realm Ore, Fogstone"
anguish_1_0,February 4,"Wood, Leather, Broken Statue, Nightstone, Baldur, Silver"
anguish_1_0,February 5,"Ortanite, Firestone, Red Draconite, Earthstone, Silver"
anguish_1_0,February 6,"Pure Darkstone, Orichalcum, Runestone, Mandrake, Iron, Pure Lightstone"
anguish_1_0,February 7,"Lyonite, Red Draconite, Greater Soul, Ancient Stone, Mandrake, Avalon Ore, Wood"
anguish_1_0,February 8,"Undead Bone, Lightningstone, Witchstone, Lyonite, Twilightstone, Perfect Baldur, Darkstone, Greater Soul"
anguish_1_0,February 9,"Greater Soul, Perfect Baldur, Skystone, Twilightstone, Demonic Ore"
anguish_1_0,February 10,"Twilightstone, Pure Darkstone, Steel, Leather, Fogstone"
anguish_1_0,February 11,"Nightstone, Lyonite, Twilightstone, Hardened Steel, Silver, Ancient Stone, Perfect Runestone, Pure Lightstone, Solarite"
anguish_1_0,February 12,"Dayleaf, Scalestone, Red Draconite, Titanium, Steel, Silk"
anguish_1_0,February 13,"Lightstone, Undead Bone, Silk, Firestone, Stone, Nightshade, Greater Soul"
anguish_1_0,February 14,"Demonic Ore, Wood, Dayleaf, Firestone, Dragonite, Witchstone"
anguish_1_0,February 15,"Cavestone, Darkstone, Cursed Ortanite, Sandstone, Wolf's Blood, Runestone, Baldur"
anguish_1_0,February 16,"Nightshade, Lightstone, Witchstone, Lesser Balorite, Solarite, Platinum, Iron"
anguish_1_0,February 17,"Hardened Steel, Ancient Stone, Nightshade, Ortanite, Earthstone, Demonic Ore, Waterstone, Balorite"
anguish_1_0,February 18,"Bone, Dayleaf, Pure Waterstone, Firestone, Witchstone, Elstone"
