filename,date,items
coral,January 1,"Demonic Ore, Steel"
coral,January 2,"Solarite, Nightstone"
coral,January 3,"Fogstone, Pure Draconite, Lyonite, Wood"
coral,January 4,"Lesser Balorite, Silver, Scalestone, Pure Draconite, Hide"
coral,January 5,"Sandstone, Ortanite, Iron"
coral,January 6,"Bone, Earthstone"
coral,January 7,"Fogstone, Broken Statue, Scalestone"
coral,January 8,"Realm Ore, Red Draconite, Nightstone, Sandstone, Adamantine"
coral,January 9,"Eyestone, Runestone, Leather"
coral,January 10,"Hardened Steel, Ortanite, Demonic Ore"
coral,January 11,"Stone, Platinum, Pure Draconite, Wolf's Blood, Sandstone"
coral,January 12,"Perfect Baldur, Nightstone, Demonic Ore, Orichalcum, Silk"
coral,January 13,"Pure Waterstone, Lesser Balorite, Sandstone, Pure Draconite"
coral,January 14,"Broken Statue, Lesser Balorite, Eyestone"
coral,January 15,"Wolf's Blood, Stone, Elstone"
coral,January 16,"Vampiric Ore, Mandrake, Draconite"
coral,January 17,"Darkstone, Demonic Ore, Stone, Firestone"
coral,January 18,"Mandrake, Draconite, Avalon Ore, Nightshade"
coral,January 19,"Nightshade, Soul, Sandstone"
coral,January 20,"Leather, Pure Waterstone, Draconite, Eyestone, Lesser Balorite"
coral,January 21,"Lesser Balorite, Leather, Skystone, Elstone"
coral,January 22,"Lightstone, Leather, Perfect Runestone, Red Draconite, Platinum"
coral,January 23,"Undead Bone, Wood, Realm Ore, Darkstone, Red Draconite"
coral,January 24,"Demonic Ore, Wolf's Blood, Silver"
coral,January 25,"Wood, Demonic Ore"
coral,January 26,"Platinum, Darkstone, Witchstone, Wolf's Blood"
coral,January 27,"Solarite, Skystone, Silphium, Ancient Stone, Orichalcum"
coral,January 28,"Broken Statue, Undead Bone, Wood"
coral,January 29,"Broken Statue, Demonic Ore, Balorite, Hide, Nightstone"
coral,January 30,"Cursed Ortanite, Nightstone, Eyestone"
coral,January 31,"Eyestone, Dragonite, Pure Darkstone"
coral,February 1,"Baldur, Wood, Demonic Ore, Perfect Baldur, Waterstone"
coral,February 2,"Runestone, Wood, Baldur, Broken Statue"
coral,February 3,"Ancient Stone, Hide, Demonic Ore"
coral,February 4,"Dragonite, Solarite, Red Draconite, Pure Darkstone"
coral,February 5,"Cavestone, Nightstone, Darkstone"
coral,February 6,"Undead Bone, Balorite, Draconite, Waterstone"
coral,February 7,"Waterstone, Silk"
coral,February 8,"Greater Soul, Sandstone"
coral,February 9,"Stone, Nightstone, Pure Lightstone, Realm Ore, Wolf's Blood"
coral,February 10,"Stone, Orichalcum, Eyestone, Vampiric Ore"
coral,February 11,"Stone, Pure Darkstone, Wolf's Blood"
coral,February 12,"Nightshade, Red Draconite, Ortanite, Baldur, Fogstone"
coral,February 13,"Pure Darkstone, Fogstone, Lesser Balorite, Avalon Ore, Dragonite"
coral,February 14,"Skystone, Ortanite, Mythril, Draconite, Elstone"
coral,February 15,"Eyestone, Sandstone"
coral,February 16,"Ancient Stone, Mythril, Pure Lightstone, Lesser Balorite"
coral,February 17,"Realm Ore, Eyestone, Adamantine"
coral,February 18,"Fogstone, Dragonite, Skystone, Lyonite"
coral,February 19,"Iron, Titanium, Baldur"
coral,February 20,"Pure Waterstone, Red Draconite"
coral,February 21,"Hide, Platinum, Pure Lightstone, Witchstone"
coral,February 22,"Fogstone, Dragonite, Pure Lightstone"
coral,February 23,"Nightstone, Lightningstone, Broken Statue"
coral,February 24,"Platinum, Witchstone, Hardened Steel, Dayleaf"
coral,February 25,"Firestone, Cavestone, Red Draconite, Nightstone, Silk"
coral,February 26,"Runestone, Hardened Steel, Darkstone, Witchstone, Solarite"
coral,February 27,"Perfect Runestone, Dayleaf"
coral,February 28,"Leather, Fogstone, Mandrake, Perfect Runestone"
coral,March 1,"Dayleaf, Sandstone"
coral,March 2,"Scalestone, Runestone, Leather, Cursed Ortanite"
coral,March 3,"Nightshade, Balorite"
coral,March 4,"Mandrake, Nightstone, Pure Darkstone"
coral,March 5,"Pure Lightstone, Titanium"
coral,March 6,"Stone, Ancient Stone"
coral,March 7,"Undead Bone, Silver, Fogstone"
coral,March 8,"Firestone, Draconite, Eyestone"
coral,March 9,"Eyestone, Runestone, Elstone"
coral,March 10,"Platinum, Pure Darkstone, Hardened Steel, Earthstone, Iron"
coral,March 11,"Hardened Steel, Perfect Runestone, Nightstone, Dayleaf"
coral,March 12,"Stone, Platinum, Iron, Demonic Ore"
coral,March 13,"Hide, Eyestone"
coral,March 14,"Solarite, Silphium, Pure Waterstone, Skystone"
coral,March 15,"Leather, Fogstone, Demonic Ore, Titanium, Cursed Ortanite"
coral,March 16,"Silk, Adamantine"
coral,March 17,"Ortanite, Broken Statue, Steel, Greater Soul"
coral,March 18,"Silver, Perfect Baldur, Silphium, Platinum"
coral,March 19,"Wolf's Blood, Mandrake, Steel"
coral,March 20,"Lightningstone, Elstone, Adamantine"
coral,March 21,"Silver, Dayleaf, Fogstone, Ancient Stone, Perfect Baldur"
coral,March 22,"Witchstone, Mythril, Nightshade, Runestone, Platinum"
coral,March 23,"Lightstone, Sandstone, Red Draconite, Adamantine"
coral,March 24,"Hide, Mandrake, Lightningstone"
coral,March 25,"Pure Waterstone, Eyestone"
coral,March 26,"Adamantine, Ancient Stone, Scalestone, Mandrake"
coral,March 27,"Twilightstone, Firestone"
coral,March 28,"Lightningstone, Mandrake, Pure Darkstone, Red Draconite"
coral,March 29,"Red Draconite, Fogstone, Baldur, Perfect Baldur"
coral,March 30,"Wood, Red Draconite, Ancient Stone, Fogstone"
coral,March 31,"Realm Ore, Silver"
coral,April 1,"Realm Ore, Demonic Ore"
