filename,date,items
sparring,January 1,"Pure Darkstone, Sandstone, Hardened Steel"
sparring,January 2,"Perfect Baldur, Cursed Ortanite"
sparring,January 3,"Waterstone, Scalestone, Baldur, Draconite, Dragonite"
sparring,January 4,"Mythril, Waterstone, Cursed Ortanite, Undead Bone, Pure Darkstone"
sparring,January 5,"Titanium, Ortanite"
sparring,January 6,"Nightshade, Firestone, Stone, Vampiric Ore, Iron"
sparring,January 7,"Scalestone, Dayleaf, Lightningstone, Sandstone"
sparring,January 8,"Platinum, Greater Soul, Titanium, Hardened Steel"
sparring,January 9,"Soul, Cavestone, Fogstone"
sparring,January 10,"Hide, Lyonite, Silver, Pure Draconite, Dragonite"
sparring,January 11,"Waterstone, Silk, Pure Waterstone, Perfect Baldur, Titanium"
sparring,January 12,"Iron, Realm Ore, Soul, Wolf's Blood"
sparring,January 13,"Greater Soul, Silver, Iron, Hide, Lesser Balorite"
sparring,January 14,"Balorite, Draconite, Cursed Ortanite, Bone, Steel"
sparring,January 15,"Hide, Platinum, Avalon Ore"
sparring,January 16,"Mythril, Orichalcum, Pure Draconite, Platinum, Broken Statue"
sparring,January 17,"Pure Lightstone, Witchstone"
sparring,January 18,"Darkstone, Demonic Ore"
sparring,January 19,"Hide, Sandstone, Cursed Ortanite"
sparring,January 20,"Nightshade, Skystone"
sparring,January 21,"Darkstone, Vampiric Ore, Hardened Steel, Pure Darkstone"
sparring,January 22,"Pure Darkstone, Perfect Runestone"
sparring,January 23,"Adamantine, Iron, Twilightstone, Ancient Stone, Nightshade"
sparring,January 24,"Mandrake, Vampiric Ore"
sparring,January 25,"Nightshade, Twilightstone, Runestone, Pure Darkstone, Scalestone"
sparring,January 26,"Vampiric Ore, Iron"
sparring,January 27,"Realm Ore, Bone, Cavestone"
sparring,January 28,"Pure Waterstone, Scalestone, Sandstone, Nightshade, Greater Soul"
sparring,January 29,"Mythril, Pure Draconite, Fogstone, Perfect Baldur, Bone"
sparring,January 30,"Fogstone, Solarite, Cavestone, Draconite, Nightstone"
sparring,January 31,"Wolf's Blood, Lightstone, Runestone, Perfect Runestone"
sparring,February 1,"Waterstone, Silver, Scalestone"
sparring,February 2,"Steel, Balorite, Iron, Silk"
sparring,February 3,"Waterstone, Stone, Baldur, Pure Waterstone"
sparring,February 4,"Ancient Stone, Red Draconite, Hardened Steel"
sparring,February 5,"Silver, Avalon Ore, Perfect Runestone, Darkstone, Draconite"
sparring,February 6,"Stone, Silver, Mandrake, Bone"
sparring,February 7,"Pure Draconite, Steel"
sparring,February 8,"Pure Draconite, Wood, Pure Waterstone"
sparring,February 9,"Lesser Balorite, Silk, Soul, Undead Bone, Adamantine"
sparring,February 10,"Silk, Draconite"
sparring,February 11,"Silphium, Lightstone, Lyonite, Scalestone, Vampiric Ore"
sparring,February 12,"Twilightstone, Skystone, Nightshade, Iron"
sparring,February 13,"Stone, Lightningstone, Wolf's Blood, Earthstone, Demonic Ore"
sparring,February 14,"Perfect Baldur, Waterstone, Runestone"
sparring,February 15,"Cursed Ortanite, Steel, Wolf's Blood"
sparring,February 16,"Dragonite, Demonic Ore, Baldur"
sparring,February 17,"Iron, Hardened Steel"
sparring,February 18,"Cavestone, Solarite"
sparring,February 19,"Twilightstone, Nightstone, Greater Soul"
sparring,February 20,"Mandrake, Cavestone"
sparring,February 21,"Solarite, Elstone, Nightshade, Runestone"
sparring,February 22,"Adamantine, Lyonite, Witchstone, Sandstone"
sparring,February 23,"Demonic Ore, Perfect Runestone, Hardened Steel, Bone, Darkstone"
sparring,February 24,"Ancient Stone, Runestone, Skystone, Wood"
sparring,February 25,"Lesser Balorite, Twilightstone, Greater Soul, Baldur"
sparring,February 26,"Orichalcum, Baldur, Titanium, Hardened Steel"
sparring,February 27,"Twilightstone, Ortanite, Waterstone, Elstone"
sparring,February 28,"Titanium, Realm Ore, Lightningstone, Wolf's Blood"
sparring,March 1,"Lesser Balorite, Wolf's Blood"
sparring,March 2,"Platinum, Soul, Pure Darkstone"
sparring,March 3,"Waterstone, Red Draconite, Demonic Ore"
sparring,March 4,"Broken Statue, Perfect Runestone, Skystone"
sparring,March 5,"Perfect Runestone, Greater Soul"
sparring,March 6,"Scalestone, Silphium, Mandrake, Perfect Runestone"
sparring,March 7,"Pure Draconite, Skystone"
sparring,March 8,"Orichalcum, Wolf's Blood, Platinum"
sparring,March 9,"Pure Darkstone, Skystone, Perfect Runestone"
sparring,March 10,"Avalon Ore, Undead Bone, Lightstone, Mandrake, Perfect Runestone"
sparring,March 11,"Baldur, Firestone, Lightstone"
sparring,March 12,"Demonic Ore, Firestone, Red Draconite, Leather"
sparring,March 13,"Draconite, Witchstone, Twilightstone, Undead Bone"
sparring,March 14,"Greater Soul, Broken Statue, Silver"
sparring,March 15,"Pure Waterstone, Stone, Pure Draconite, Ancient Stone, Wolf's Blood"
sparring,March 16,"Pure Draconite, Dayleaf, Realm Ore, Iron, Runestone"
sparring,March 17,"Hide, Cursed Ortanite, Baldur"
sparring,March 18,"Pure Lightstone, Lightstone, Sandstone, Cursed Ortanite"
sparring,March 19,"Witchstone, Dragonite, Hide, Undead Bone, Silver"
sparring,March 20,"Runestone, Lesser Balorite, Stone, Platinum"
sparring,March 21,"Pure Draconite, Leather, Ortanite, Darkstone"
sparring,March 22,"Wood, Hide, Silver, Firestone, Pure Draconite"
sparring,March 23,"Vampiric Ore, Solarite, Silk, Undead Bone"
sparring,March 24,"Lightningstone, Mandrake, Silphium, Baldur"
sparring,March 25,"Hardened Steel, Pure Darkstone"
sparring,March 26,"Cavestone, Fogstone, Realm Ore, Solarite, Hide"
sparring,March 27,"Earthstone, Mythril, Cursed Ortanite, Lesser Balorite"
sparring,March 28,"Baldur, Red Draconite"
sparring,March 29,"Solarite, Scalestone"
sparring,March 30,"Mythril, Earthstone, Cavestone"
sparring,March 31,"Silver, Scalestone"
sparring,April 1,"Mythril, Bone"
sparring,April 2,"Earthstone, Silphium, Skystone"
sparring,April 3,"Lesser Balorite, Draconite, Iron, Hardened Steel"
sparring,April 4,"Elstone, Nightshade, Leather, Bone, Broken Statue"
sparring,April 5,"Balorite, Nightstone, Mythril, Pure Lightstone"
sparring,April 6,"Titanium, Draconite"
sparring,April 7,"Darkstone, Ortanite, Pure Lightstone, Vampiric Ore, Wood"
sparring,April 8,"Steel, Vampiric Ore, Adamantine, Eyestone, Nightshade"
sparring,April 9,"Wood, Realm Ore, Firestone"
sparring,April 10,"Balorite, Eyestone"
sparring,April 11,"Witchstone, Stone"
