filename,date,items
towers,January 1,"Scalestone, Orichalcum, Lyonite, Firestone"
towers,January 2,"Perfect Runestone, Stone, Ancient Stone, Silphium"
towers,January 3,"Leather, Elstone, Ortanite, Darkstone, Platinum, Witchstone"
towers,January 4,"Elstone, Darkstone, Demonic Ore, Perfect Runestone, Sandstone"
towers,January 5,"Silk, Lesser Balorite, Eyestone, Wolf's Blood"
towers,January 6,"Perfect Runestone, Mythril, Lightningstone, Demonic Ore"
towers,January 7,"Titanium, Undead Bone, Cursed Ortanite"
towers,January 8,"Steel, Demonic Ore, Pure Draconite, Ancient Stone"
towers,January 9,"Silphium, Baldur, Wood"
towers,January 10,"Silphium, Scalestone, Hide"
towers,January 11,"Nightstone, Lightningstone, Pure Darkstone"
towers,January 12,"Broken Statue, Realm Ore, Avalon Ore, Eyestone"
towers,January 13,"Lyonite, Dayleaf, Bone"
towers,January 14,"Silk, Orichalcum, Eyestone, Perfect Baldur, Dayleaf, Firestone"
towers,January 15,"Dayleaf, Leather, Solarite, Nightshade"
towers,January 16,"Orichalcum, Platinum, Balorite"
towers,January 17,"Platinum, Earthstone, Lyonite, Scalestone, Ancient Stone"
towers,January 18,"Cursed Ortanite, Leather, Silver"
towers,January 19,"Draconite, Lesser Balorite, Pure Lightstone, Scalestone"
towers,January 20,"Undead Bone, Cavestone, Wolf's Blood, Waterstone"
towers,January 21,"Silk, Mythril, Earthstone, Dragonite, Mandrake"
towers,January 22,"Demonic Ore, Silk, Scalestone, Wood"
towers,January 23,"Red Draconite, Sandstone, Nightstone, Undead Bone, Fogstone"
towers,January 24,"Orichalcum, Silphium, Lesser Balorite"
towers,January 25,"Skystone, Mythril, Lesser Balorite, Silk, Dragonite, Firestone"
towers,January 26,"Pure Draconite, Vampiric Ore, Earthstone, Witchstone, Nightshade, Undead Bone"
towers,January 27,"Darkstone, Platinum, Lightningstone, Earthstone"
towers,January 28,"Lightstone, Lyonite, Sandstone"
towers,January 29,"Realm Ore, Pure Lightstone, Steel"
towers,January 30,"Cavestone, Pure Draconite, Soul, Baldur, Skystone, Draconite"
towers,January 31,"Steel, Lesser Balorite, Perfect Runestone, Lightningstone, Vampiric Ore"
towers,February 1,"Broken Statue, Pure Darkstone, Platinum, Avalon Ore, Silphium"
towers,February 2,"Adamantine, Balorite, Wolf's Blood, Steel, Broken Statue"
towers,February 3,"Demonic Ore, Lesser Balorite, Stone"
towers,February 4,"Mythril, Stone, Orichalcum, Steel, Firestone"
towers,February 5,"Pure Waterstone, Mandrake, Realm Ore, Baldur"
towers,February 6,"Mandrake, Dragonite, Iron"
towers,February 7,"Skystone, Leather, Lesser Balorite"
towers,February 8,"Hide, Pure Lightstone, Lyonite, Firestone, Mythril, Cavestone"
towers,February 9,"Mythril, Mandrake, Pure Lightstone, Eyestone, Draconite, Stone"
towers,February 10,"Avalon Ore, Dayleaf, Twilightstone"
towers,February 11,"Mythril, Lesser Balorite, Lightningstone"
towers,February 12,"Skystone, Scalestone, Firestone, Cavestone, Wolf's Blood"
towers,February 13,"Wolf's Blood, Perfect Runestone, Adamantine"
towers,February 14,"Demonic Ore, Wolf's Blood, Mythril, Runestone, Firestone, Scalestone"
towers,February 15,"Perfect Baldur, Silver, Waterstone"
towers,February 16,"Cursed Ortanite, Pure Waterstone, Stone, Silphium, Firestone"
towers,February 17,"Fogstone, Eyestone, Nightshade, Wolf's Blood"
towers,February 18,"Skystone, Scalestone, Orichalcum, Draconite, Earthstone"
towers,February 19,"Undead Bone, Adamantine, Avalon Ore, Ortanite, Greater Soul, Runestone"
towers,February 20,"Baldur, Undead Bone, Balorite, Orichalcum"
towers,February 21,"Lightningstone, Firestone, Steel, Wolf's Blood, Ancient Stone"
towers,February 22,"Leather, Wood, Wolf's Blood, Skystone, Fogstone"
towers,February 23,"Earthstone, Sandstone, Stone, Dragonite, Pure Waterstone, Cavestone"
towers,February 24,"Red Draconite, Runestone, Eyestone, Broken Statue, Waterstone, Leather"
towers,February 25,"Vampiric Ore, Mandrake, Waterstone"
towers,February 26,"Hide, Silphium, Perfect Runestone"
towers,February 27,"Vampiric Ore, Nightshade, Cursed Ortanite, Soul, Dayleaf"
towers,February 28,"Wolf's Blood, Darkstone, Orichalcum"
towers,March 1,"Dragonite, Broken Statue, Leather, Witchstone, Firestone, Perfect Runestone"
towers,March 2,"Steel, Broken Statue, Ortanite, Lesser Balorite"
towers,March 3,"Lightningstone, Pure Lightstone, Mandrake, Red Draconite, Twilightstone"
towers,March 4,"Mandrake, Wood, Adamantine, Wolf's Blood, Mythril, Perfect Baldur"
towers,March 5,"Hardened Steel, Nightshade, Mandrake"
towers,March 6,"Eyestone, Lightningstone, Ortanite, Witchstone"
towers,March 7,"Wolf's Blood, Orichalcum, Waterstone, Leather, Skystone, Soul"
towers,March 8,"Undead Bone, Eyestone, Lyonite"
towers,March 9,"Red Draconite, Iron, Stone, Dragonite"
towers,March 10,"Demonic Ore, Earthstone, Iron, Cavestone, Greater Soul"
towers,March 11,"Cavestone, Earthstone, Pure Lightstone"
towers,March 12,"Cavestone, Firestone, Hide, Lightstone"
towers,March 13,"Iron, Broken Statue, Demonic Ore"
towers,March 14,"Dayleaf, Greater Soul, Iron"
towers,March 15,"Earthstone, Pure Lightstone, Silver, Nightstone, Silphium, Realm Ore"
towers,March 16,"Fogstone, Broken Statue, Avalon Ore"
towers,March 17,"Titanium, Silphium, Lightstone, Twilightstone"
towers,March 18,"Platinum, Earthstone, Red Draconite, Wood"
towers,March 19,"Eyestone, Draconite, Titanium, Dayleaf, Stone"
towers,March 20,"Waterstone, Wood, Ortanite, Mythril, Runestone, Twilightstone"
towers,March 21,"Twilightstone, Bone, Titanium, Pure Lightstone"
towers,March 22,"Sandstone, Darkstone, Baldur"
towers,March 23,"Realm Ore, Mythril, Bone, Earthstone, Darkstone"
towers,March 24,"Mandrake, Fogstone, Lyonite, Realm Ore"
towers,March 25,"Dragonite, Solarite, Fogstone, Greater Soul"
towers,March 26,"Undead Bone, Pure Waterstone, Perfect Runestone, Vampiric Ore, Draconite"
towers,March 27,"Vampiric Ore, Pure Lightstone, Nightstone"
towers,March 28,"Lyonite, Darkstone, Orichalcum, Vampiric Ore"
towers,March 29,"Dragonite, Soul, Nightstone"
towers,March 30,"Bone, Soul, Sandstone, Undead Bone, Ancient Stone"
towers,March 31,"Bone, Twilightstone, Waterstone, Silphium, Perfect Runestone, Silk"
towers,April 1,"Mythril, Hardened Steel, Solarite, Adamantine, Platinum"
towers,April 2,"Witchstone, Scalestone, Hardened Steel, Nightstone"
towers,April 3,"Elstone, Cavestone, Lightningstone"
towers,April 4,"Pure Draconite, Solarite, Pure Waterstone, Skystone, Witchstone, Eyestone"
towers,April 5,"Baldur, Dragonite, Perfect Baldur, Balorite, Runestone"
towers,April 6,"Soul, Nightstone, Lyonite, Witchstone, Leather"
towers,April 7,"Bone, Wolf's Blood, Waterstone, Soul, Draconite, Realm Ore"
towers,April 8,"Lightstone, Broken Statue, Scalestone"
towers,April 9,"Undead Bone, Orichalcum, Hide"
towers,April 10,"Pure Draconite, Lightningstone, Earthstone, Avalon Ore, Perfect Baldur, Silk"
towers,April 11,"Elstone, Darkstone, Greater Soul"
towers,April 12,"Runestone, Skystone, Darkstone, Solarite, Nightshade, Nightstone"
towers,April 13,"Undead Bone, Avalon Ore, Soul"
towers,April 14,"Darkstone, Skystone, Earthstone, Silphium, Pure Darkstone"
towers,April 15,"Nightstone, Platinum, Cursed Ortanite, Nightshade, Silver"
towers,April 16,"Vampiric Ore, Wolf's Blood, Solarite, Bone"
towers,April 17,"Skystone, Iron, Lightningstone"
towers,April 18,"Dayleaf, Broken Statue, Eyestone"
towers,April 19,"Elstone, Wolf's Blood, Pure Darkstone"
towers,April 20,"Iron, Wood, Scalestone, Orichalcum, Undead Bone"
towers,April 21,"Pure Lightstone, Solarite, Silver, Skystone, Platinum, Dayleaf"
towers,April 22,"Ortanite, Lightningstone, Hardened Steel, Pure Lightstone, Pure Darkstone"
towers,April 23,"Silk, Earthstone, Stone, Balorite, Perfect Runestone, Pure Waterstone"
towers,April 24,"Mandrake, Silk, Firestone, Draconite, Lyonite"
towers,April 25,"Broken Statue, Platinum, Perfect Baldur, Nightstone"
towers,April 26,"Lightningstone, Mythril, Orichalcum, Ancient Stone"
towers,April 27,"Balorite, Hide, Perfect Baldur, Lyonite"
towers,April 28,"Orichalcum, Broken Statue, Earthstone, Red Draconite, Fogstone"
towers,April 29,"Dayleaf, Waterstone, Lightningstone"
