filename,date,items
towers_hoa,January 1,"Nightstone, Realm Ore, Eyestone, Balorite, Twilightstone"
towers_hoa,January 2,"Mandrake, Ancient Stone, Solarite, Skystone, Darkstone, Pure Darkstone"
towers_hoa,January 3,"Dayleaf, Dragonite, Perfect Runestone, Scalestone, Ancient Stone, Silk"
towers_hoa,January 4,"Avalon Ore, Fogstone, Platinum, Balorite, Perfect Runestone, Greater Soul"
towers_hoa,January 5,"Perfect Runestone, Vampiric Ore, Silver, Orichalcum, Solarite, Dragonite"
towers_hoa,January 6,"Dayleaf, Pure Draconite, Undead Bone, Lesser Balorite"
towers_hoa,January 7,"Perfect Baldur, Pure Lightstone, Lightningstone, Fogstone, Broken Statue, Wood"
towers_hoa,January 8,"Titanium, Undead Bone, Solarite, Lightstone"
towers_hoa,January 9,"Orichalcum, Fogstone, Runestone, Pure Draconite, Mandrake, Perfect Baldur"
towers_hoa,January 10,"Earthstone, Runestone, Baldur, Lesser Balorite, Ancient Stone, Mythril"
towers_hoa,January 11,"Nightstone, Pure Waterstone, Perfect Runestone, Pure Darkstone, Platinum, Orichalcum"
towers_hoa,January 12,"Skystone, Draconite, Darkstone, Pure Lightstone, Fogstone, Perfect Baldur"
towers_hoa,January 13,"Lightningstone, Earthstone, Leather, Demonic Ore, Silver"
towers_hoa,January 14,"Leather, Avalon Ore, Baldur"
towers_hoa,January 15,"Titanium, Eyestone, Vampiric Ore, Ancient Stone, Nightshade, Bone"
towers_hoa,January 16,"Orichalcum, Runestone, Vampiric Ore, Firestone"
towers_hoa,January 17,"Wood, Balorite, Dayleaf"
towers_hoa,January 18,"Orichalcum, Scalestone, Avalon Ore, Earthstone"
towers_hoa,January 19,"Wolf's Blood, Ortanite, Mythril"
towers_hoa,January 20,"Darkstone, Mythril, Platinum, Steel"
towers_hoa,January 21,"Silk, Dragonite, Darkstone, Wolf's Blood, Sandstone, Bone"
towers_hoa,January 22,"Iron, Elstone, Pure Waterstone"
towers_hoa,January 23,"Broken Statue, Elstone, Mandrake, Twilightstone, Steel, Adamantine"
towers_hoa,January 24,"Sandstone, Balorite, Leather, Orichalcum, Darkstone, Draconite"
towers_hoa,January 25,"Cavestone, Fogstone, Darkstone, Silver, Skystone"
towers_hoa,January 26,"Fogstone, Dragonite, Orichalcum, Broken Statue, Pure Darkstone, Soul"
towers_hoa,January 27,"Nightstone, Avalon Ore, Soul, Realm Ore, Fogstone"
towers_hoa,January 28,"Greater Soul, Hardened Steel, Soul, Elstone, Dayleaf, Wolf's Blood"
towers_hoa,January 29,"Nightstone, Waterstone, Silver, Vampiric Ore"
towers_hoa,January 30,"Nightshade, Pure Draconite, Draconite"
towers_hoa,January 31,"Cavestone, Silphium, Undead Bone, Platinum"
towers_hoa,February 1,"Mandrake, Ortanite, Hardened Steel, Witchstone, Platinum"
towers_hoa,February 2,"Twilightstone, Avalon Ore, Broken Statue"
towers_hoa,February 3,"Nightstone, Perfect Runestone, Fogstone, Vampiric Ore"
towers_hoa,February 4,"Fogstone, Broken Statue, Scalestone, Soul, Hardened Steel"
towers_hoa,February 5,"Greater Soul, Lesser Balorite, Hardened Steel, Witchstone, Red Draconite"
towers_hoa,February 6,"Steel, Demonic Ore, Skystone, Stone"
towers_hoa,February 7,"Silk, Elstone, Greater Soul, Cavestone, Draconite"
towers_hoa,February 8,"Steel, Sandstone, Baldur"
towers_hoa,February 9,"Silk, Hide, Baldur, Pure Lightstone"
towers_hoa,February 10,"Orichalcum, Pure Draconite, Sandstone"
towers_hoa,February 11,"Pure Waterstone, Skystone, Darkstone"
towers_hoa,February 12,"Broken Statue, Mythril, Silphium"
towers_hoa,February 13,"Wood, Pure Draconite, Hardened Steel, Bone"
towers_hoa,February 14,"Undead Bone, Elstone, Pure Waterstone, Wood, Fogstone, Pure Darkstone"
towers_hoa,February 15,"Lesser Balorite, Nightstone, Witchstone, Perfect Runestone"
towers_hoa,February 16,"Silphium, Red Draconite, Realm Ore, Balorite, Mandrake"
towers_hoa,February 17,"Runestone, Steel, Bone, Fogstone"
towers_hoa,February 18,"Scalestone, Pure Darkstone, Pure Draconite"
towers_hoa,February 19,"Leather, Mythril, Wolf's Blood, Skystone, Realm Ore"
towers_hoa,February 20,"Platinum, Greater Soul, Runestone, Fogstone, Elstone, Twilightstone"
towers_hoa,February 21,"Leather, Steel, Wood"
towers_hoa,February 22,"Realm Ore, Silver, Skystone"
towers_hoa,February 23,"Lightningstone, Perfect Baldur, Waterstone, Skystone, Ancient Stone"
towers_hoa,February 24,"Hardened Steel, Earthstone, Pure Darkstone"
towers_hoa,February 25,"Balorite, Elstone, Silk"
towers_hoa,February 26,"Perfect Baldur, Dragonite, Bone, Red Draconite, Platinum"
towers_hoa,February 27,"Runestone, Mythril, Leather, Sandstone, Wolf's Blood"
towers_hoa,February 28,"Leather, Steel, Earthstone, Orichalcum, Red Draconite, Ortanite"
towers_hoa,March 1,"Dayleaf, Avalon Ore, Lightstone"
towers_hoa,March 2,"Twilightstone, Scalestone, Wood, Pure Darkstone"
towers_hoa,March 3,"Hardened Steel, Red Draconite, Soul, Solarite, Wood, Pure Darkstone"
towers_hoa,March 4,"Stone, Adamantine, Dayleaf, Runestone, Lightstone, Dragonite"
towers_hoa,March 5,"Wolf's Blood, Leather, Steel"
towers_hoa,March 6,"Pure Draconite, Darkstone, Nightstone"
towers_hoa,March 7,"Orichalcum, Pure Draconite, Demonic Ore, Lesser Balorite, Ancient Stone, Silk"
towers_hoa,March 8,"Leather, Dayleaf, Earthstone"
towers_hoa,March 9,"Stone, Elstone, Iron, Ancient Stone, Avalon Ore"
towers_hoa,March 10,"Sandstone, Pure Darkstone, Ortanite"
towers_hoa,March 11,"Cavestone, Earthstone, Leather, Nightstone"
towers_hoa,March 12,"Perfect Runestone, Ancient Stone, Earthstone, Balorite, Soul, Sandstone"
towers_hoa,March 13,"Solarite, Titanium, Pure Draconite, Adamantine, Witchstone"
towers_hoa,March 14,"Ancient Stone, Broken Statue, Mandrake, Steel, Fogstone"
towers_hoa,March 15,"Hide, Red Draconite, Mandrake, Bone"
towers_hoa,March 16,"Cavestone, Soul, Pure Waterstone, Mythril, Baldur"
towers_hoa,March 17,"Adamantine, Firestone, Wolf's Blood"
towers_hoa,March 18,"Perfect Runestone, Elstone, Pure Darkstone, Broken Statue"
towers_hoa,March 19,"Runestone, Silver, Dayleaf"
towers_hoa,March 20,"Iron, Steel, Realm Ore"
