filename,date,items
Trials,January 1,"Scalestone, Demonic Ore"
Trials,January 2,"Solarite, Steel, Draconite"
Trials,January 3,"Perfect Baldur, Titanium"
Trials,January 4,"Witchstone, Lightstone, Silk, Cursed Ortanite, Perfect Baldur"
Trials,January 5,"Solarite, Balorite"
Trials,January 6,"Red Draconite, Adamantine, Skystone, Fogstone, Balorite"
Trials,January 7,"Cavestone, Lightstone, Nightshade, Dayleaf"
Trials,January 8,"Iron, Red Draconite, Balorite"
Trials,January 9,"Pure Lightstone, Wolf's Blood"
Trials,January 10,"Witchstone, Bone"
Trials,January 11,"Ancient Stone, Solarite, Nightstone"
Trials,January 12,"Balorite, Sandstone, Stone"
Trials,January 13,"Titanium, Cursed Ortanite"
Trials,January 14,"Bone, Nightstone, Cavestone, Twilightstone, Fogstone"
Trials,January 15,"Realm Ore, Wolf's Blood, Waterstone"
Trials,January 16,"Cursed Ortanite, Pure Waterstone, Soul"
Trials,January 17,"Steel, Perfect Runestone, Nightshade"
Trials,January 18,"Silver, Perfect Baldur, Red Draconite"
Trials,January 19,"Perfect Runestone, Leather, Stone, Pure Draconite, Dragonite"
Trials,January 20,"Pure Darkstone, Darkstone, Elstone"
Trials,January 21,"Dragonite, Avalon Ore, Solarite, Pure Waterstone, Silver"
Trials,January 22,"Dragonite, Steel, Pure Lightstone, Lesser Balorite, Adamantine"
Trials,January 23,"Lightstone, Lesser Balorite, Realm Ore, Stone, Draconite"
Trials,January 24,"Dragonite, Steel"
Trials,January 25,"Platinum, Firestone, Eyestone, Pure Darkstone"
Trials,January 26,"Elstone, Mandrake, Draconite, Sandstone"
Trials,January 27,"Twilightstone, Balorite"
Trials,January 28,"Ancient Stone, Broken Statue, Waterstone"
Trials,January 29,"Silphium, Vampiric Ore, Scalestone"
Trials,January 30,"Dragonite, Undead Bone, Silver"
Trials,January 31,"Avalon Ore, Lightningstone, Ortanite, Broken Statue"
Trials,February 1,"Silver, Darkstone, Baldur, Iron"
Trials,February 2,"Mythril, Pure Waterstone, Nightshade, Darkstone"
Trials,February 3,"Fogstone, Soul, Dragonite"
Trials,February 4,"Broken Statue, Dayleaf, Undead Bone, Soul"
Trials,February 5,"Silver, Vampiric Ore, Nightstone, Mythril, Lyonite"
Trials,February 6,"Vampiric Ore, Runestone, Pure Waterstone, Skystone"
Trials,February 7,"Skystone, Red Draconite, Stone, Pure Draconite"
Trials,February 8,"Balorite, Witchstone, Demonic Ore, Lightstone"
Trials,February 9,"Witchstone, Realm Ore, Perfect Baldur, Silver, Dayleaf"
Trials,February 10,"Dayleaf, Red Draconite, Silver, Pure Lightstone"
Trials,February 11,"Adamantine, Scalestone, Solarite"
Trials,February 12,"Mythril, Hide"
Trials,February 13,"Witchstone, Titanium, Waterstone"
Trials,February 14,"Pure Lightstone, Dragonite, Steel"
Trials,February 15,"Hardened Steel, Nightstone"
Trials,February 16,"Perfect Runestone, Elstone"
Trials,February 17,"Runestone, Vampiric Ore, Firestone"
Trials,February 18,"Orichalcum, Lightningstone"
Trials,February 19,"Bone, Adamantine, Pure Draconite, Avalon Ore, Scalestone"
Trials,February 20,"Pure Draconite, Greater Soul, Bone"
Trials,February 21,"Avalon Ore, Iron, Fogstone, Lightstone"
Trials,February 22,"Witchstone, Darkstone, Silphium, Twilightstone"
Trials,February 23,"Vampiric Ore, Eyestone, Pure Waterstone, Silphium"
Trials,February 24,"Twilightstone, Balorite, Wood"
Trials,February 25,"Silphium, Platinum, Eyestone"
Trials,February 26,"Broken Statue, Stone"
Trials,February 27,"Nightstone, Perfect Baldur, Iron, Wolf's Blood"
Trials,February 28,"Undead Bone, Greater Soul, Red Draconite, Twilightstone, Steel"
Trials,March 1,"Baldur, Pure Darkstone, Eyestone"
Trials,March 2,"Vampiric Ore, Solarite"
Trials,March 3,"Undead Bone, Cursed Ortanite, Pure Lightstone"
Trials,March 4,"Ancient Stone, Vampiric Ore, Waterstone"
Trials,March 5,"Darkstone, Silk, Hardened Steel, Witchstone, Firestone"
Trials,March 6,"Ortanite, Silver, Pure Lightstone"
Trials,March 7,"Soul, Cursed Ortanite, Dayleaf"
Trials,March 8,"Cursed Ortanite, Bone"
Trials,March 9,"Lesser Balorite, Waterstone, Fogstone, Twilightstone"
Trials,March 10,"Stone, Dayleaf, Silphium, Soul, Solarite"
Trials,March 11,"Runestone, Stone, Scalestone, Lightstone"
Trials,March 12,"Lesser Balorite, Fogstone"
Trials,March 13,"Darkstone, Soul"
Trials,March 14,"Adamantine, Perfect Runestone, Cursed Ortanite, Greater Soul, Earthstone"
Trials,March 15,"Perfect Runestone, Earthstone, Pure Waterstone"
Trials,March 16,"Adamantine, Hide, Perfect Runestone"
Trials,March 17,"Draconite, Waterstone, Titanium, Cavestone"
Trials,March 18,"Dayleaf, Wood, Hide"
Trials,March 19,"Realm Ore, Runestone, Twilightstone, Orichalcum"
Trials,March 20,"Mandrake, Twilightstone, Silver, Silphium"
Trials,March 21,"Pure Lightstone, Elstone, Cursed Ortanite"
Trials,March 22,"Red Draconite, Lightstone, Silk, Silver"
Trials,March 23,"Orichalcum, Pure Darkstone, Lightstone, Draconite"
Trials,March 24,"Skystone, Silk, Red Draconite, Platinum"
Trials,March 25,"Silver, Wolf's Blood, Steel, Firestone"
Trials,March 26,"Dayleaf, Ancient Stone, Darkstone, Platinum, Steel"
Trials,March 27,"Scalestone, Wood, Darkstone, Witchstone, Eyestone"
Trials,March 28,"Scalestone, Waterstone"
Trials,March 29,"Steel, Ortanite, Perfect Baldur"
Trials,March 30,"Wolf's Blood, Adamantine, Undead Bone, Runestone"
Trials,March 31,"Platinum, Eyestone, Silver, Cursed Ortanite, Demonic Ore"
Trials,April 1,"Realm Ore, Wood, Ortanite, Soul"
Trials,April 2,"Perfect Baldur, Silk, Runestone"
Trials,April 3,"Lightstone, Solarite, Pure Lightstone, Balorite, Sandstone"
Trials,April 4,"Soul, Silphium"
Trials,April 5,"Solarite, Realm Ore, Leather, Nightshade"
Trials,April 6,"Perfect Baldur, Leather"
Trials,April 7,"Mythril, Dayleaf, Greater Soul"
Trials,April 8,"Platinum, Hide, Orichalcum, Balorite, Dayleaf"
Trials,April 9,"Bone, Lightstone, Waterstone, Wood, Adamantine"
Trials,April 10,"Hardened Steel, Pure Waterstone, Leather, Dayleaf, Waterstone"
Trials,April 11,"Perfect Baldur, Pure Draconite, Firestone"
Trials,April 12,"Dragonite, Nightstone, Soul, Twilightstone, Realm Ore"
Trials,April 13,"Eyestone, Adamantine"
Trials,April 14,"Lightningstone, Stone, Steel, Realm Ore, Mandrake"
Trials,April 15,"Nightstone, Mandrake, Nightshade, Cavestone"
Trials,April 16,"Ortanite, Mythril, Stone, Hardened Steel, Lesser Balorite"
Trials,April 17,"Silphium, Broken Statue, Soul"
Trials,April 18,"Mythril, Realm Ore, Lightstone, Greater Soul"
Trials,April 19,"Avalon Ore, Lyonite, Demonic Ore, Earthstone"
Trials,April 20,"Ortanite, Silver, Steel, Perfect Runestone, Hide"
Trials,April 21,"Wolf's Blood, Silk, Darkstone"
Trials,April 22,"Cavestone, Leather, Fogstone, Lesser Balorite, Silphium"
Trials,April 23,"Skystone, Perfect Baldur, Elstone, Mandrake, Bone"
Trials,April 24,"Sandstone, Red Draconite, Orichalcum, Realm Ore"
Trials,April 25,"Firestone, Nightshade, Cursed Ortanite, Sandstone, Broken Statue"
Trials,April 26,"Balorite, Soul, Silk"
Trials,April 27,"Sandstone, Nightshade, Skystone, Silk"
Trials,April 28,"Nightshade, Ortanite, Baldur, Greater Soul"
Trials,April 29,"Titanium, Silphium, Skystone, Undead Bone, Earthstone"
Trials,April 30,"Iron, Witchstone, Eyestone"
Trials,May 1,"Dayleaf, Balorite, Wolf's Blood"
Trials,May 2,"Dragonite, Baldur, Leather, Realm Ore"
Trials,May 3,"Dayleaf, Nightshade, Vampiric Ore, Wolf's Blood"
Trials,May 4,"Lyonite, Hardened Steel, Stone, Bone, Iron"
Trials,May 5,"Witchstone, Silphium"
Trials,May 6,"Leather, Platinum"
Trials,May 7,"Demonic Ore, Mythril, Silk, Red Draconite"
Trials,May 8,"Lightstone, Sandstone, Eyestone, Elstone, Silphium"
Trials,May 9,"Stone, Lightstone, Dayleaf, Platinum, Steel"
Trials,May 10,"Mythril, Silk, Realm Ore, Red Draconite"
Trials,May 11,"Runestone, Twilightstone"
Trials,May 12,"Ancient Stone, Skystone, Broken Statue"
Trials,May 13,"Adamantine, Iron, Fogstone, Darkstone, Baldur"
Trials,May 14,"Mythril, Wolf's Blood, Lightningstone, Firestone, Twilightstone"
Trials,May 15,"Baldur, Cursed Ortanite, Draconite, Realm Ore"
Trials,May 16,"Solarite, Undead Bone, Iron"
Trials,May 17,"Dragonite, Witchstone, Adamantine"
Trials,May 18,"Stone, Silphium, Wolf's Blood"
Trials,May 19,"Wolf's Blood, Elstone, Lyonite, Nightstone"
Trials,May 20,"Avalon Ore, Pure Waterstone"
Trials,May 21,"Broken Statue, Draconite, Twilightstone"
Trials,May 22,"Perfect Runestone, Wood, Cursed Ortanite, Greater Soul"
Trials,May 23,"Skystone, Eyestone, Iron, Greater Soul"
Trials,May 24,"Nightshade, Wood"
Trials,May 25,"Silver, Sandstone, Titanium, Leather, Balorite"
Trials,May 26,"Pure Draconite, Earthstone, Undead Bone"
Trials,May 27,"Perfect Runestone, Titanium, Soul, Platinum"
Trials,May 28,"Steel, Avalon Ore, Wood, Eyestone"
Trials,May 29,"Pure Darkstone, Solarite, Darkstone, Sandstone"
Trials,May 30,"Nightshade, Pure Lightstone, Draconite, Ancient Stone, Avalon Ore"
Trials,May 31,"Fogstone, Elstone, Silk"
Trials,June 1,"Wood, Avalon Ore, Cavestone, Earthstone"
Trials,June 2,"Silk, Iron, Pure Lightstone, Adamantine, Skystone"
Trials,June 3,"Scalestone, Lightstone, Bone, Red Draconite, Fogstone"
Trials,June 4,"Runestone, Hide"
Trials,June 5,"Silver, Red Draconite, Cursed Ortanite, Witchstone"
Trials,June 6,"Waterstone, Lightstone"
Trials,June 7,"Mandrake, Silk, Stone, Orichalcum"
Trials,June 8,"Wood, Nightstone"
Trials,June 9,"Hide, Stone, Adamantine, Titanium, Bone"
Trials,June 10,"Balorite, Adamantine, Silk, Hardened Steel, Hide"
Trials,June 11,"Orichalcum, Perfect Baldur, Lyonite, Pure Waterstone"
Trials,June 12,"Elstone, Iron, Silphium, Darkstone, Baldur"
Trials,June 13,"Mythril, Silphium, Greater Soul"
Trials,June 14,"Perfect Runestone, Twilightstone, Orichalcum"
Trials,June 15,""
Trials,June 16,"Platinum, Pure Draconite, Nightstone, Pure Lightstone"
Trials,June 17,"Lesser Balorite, Broken Statue, Nightstone, Waterstone"
Trials,June 18,"Mandrake, Hardened Steel, Broken Statue"
Trials,June 19,"Nightshade, Firestone, Dragonite, Witchstone"
Trials,June 20,"Soul, Orichalcum"
Trials,June 21,"Waterstone, Fogstone, Lightningstone, Balorite"
Trials,June 22,"Iron, Waterstone, Solarite, Red Draconite"
Trials,June 23,"Bone, Titanium, Orichalcum, Skystone, Adamantine"
Trials,June 24,"Pure Draconite, Scalestone, Lesser Balorite, Bone"
Trials,June 25,"Orichalcum, Demonic Ore, Fogstone, Soul"
Trials,June 26,"Lyonite, Dragonite, Dayleaf"
Trials,June 27,"Draconite, Steel, Undead Bone, Avalon Ore, Waterstone"
Trials,June 28,"Dayleaf, Skystone"
Trials,June 29,"Mandrake, Greater Soul, Bone"
Trials,June 30,"Lesser Balorite, Lightstone"
Trials,July 1,"Lesser Balorite, Twilightstone"
Trials,July 2,"Draconite, Dayleaf"
Trials,July 3,"Adamantine, Silk"
Trials,July 4,"Platinum, Eyestone"
Trials,July 5,"Waterstone, Nightshade, Undead Bone"
Trials,July 6,"Mythril, Runestone, Solarite, Leather, Fogstone"
Trials,July 7,"Pure Draconite, Silver, Ancient Stone, Waterstone, Solarite"
Trials,July 8,"Steel, Witchstone, Silphium, Scalestone"
Trials,July 9,"Undead Bone, Hardened Steel, Elstone, Runestone"
Trials,July 10,"Avalon Ore, Cavestone"
Trials,July 11,"Cursed Ortanite, Leather"
Trials,July 12,"Perfect Baldur, Stone, Nightshade"
Trials,July 13,"Adamantine, Wood, Skystone, Baldur"
Trials,July 14,"Greater Soul, Dayleaf, Earthstone"
Trials,July 15,"Ancient Stone, Mandrake, Bone"
Trials,July 16,"Broken Statue, Dragonite"
Trials,July 17,"Demonic Ore, Earthstone, Steel, Perfect Baldur, Platinum"
Trials,July 18,"Leather, Twilightstone, Sandstone"
Trials,July 19,"Soul, Firestone, Dayleaf, Titanium"
Trials,July 20,"Sandstone, Hardened Steel, Realm Ore, Platinum, Ortanite"
Trials,July 21,"Stone, Earthstone, Mythril"
Trials,July 22,"Pure Darkstone, Witchstone, Bone"
Trials,July 23,"Lesser Balorite, Hardened Steel"
Trials,July 24,"Pure Lightstone, Pure Waterstone, Orichalcum, Nightshade, Ancient Stone"
Trials,July 25,"Lesser Balorite, Cavestone, Pure Darkstone, Silk, Solarite"
Trials,July 26,"Pure Draconite, Ortanite, Silver, Darkstone, Red Draconite"
Trials,July 27,"Platinum, Pure Lightstone"
Trials,July 28,"Skystone, Elstone, Ortanite, Mandrake, Bone"
Trials,July 29,"Pure Draconite, Balorite, Red Draconite"
Trials,July 30,"Perfect Baldur, Cavestone, Ortanite"
Trials,July 31,"Realm Ore, Darkstone, Platinum, Hardened Steel"
Trials,August 1,"Hardened Steel, Adamantine, Nightstone, Perfect Baldur"
Trials,August 2,"Pure Draconite, Wolf's Blood, Greater Soul, Perfect Runestone"
Trials,August 3,"Broken Statue, Leather"
Trials,August 4,"Hide, Perfect Baldur, Vampiric Ore, Ancient Stone, Dragonite"
Trials,August 5,"Cursed Ortanite, Demonic Ore, Pure Draconite, Greater Soul, Silk"
Trials,August 6,"Vampiric Ore, Ancient Stone, Cursed Ortanite, Lightningstone"
Trials,August 7,"Baldur, Wood, Broken Statue, Iron"
Trials,August 8,"Eyestone, Broken Statue"
Trials,August 9,"Dayleaf, Solarite"
Trials,August 10,"Firestone, Orichalcum, Platinum, Lightstone"
Trials,August 11,"Lightstone, Skystone, Runestone, Cavestone"
Trials,August 12,"Draconite, Pure Waterstone"
Trials,August 13,"Mythril, Iron, Baldur, Silphium"
Trials,August 14,"Adamantine, Lesser Balorite"
Trials,August 15,"Platinum, Scalestone, Witchstone, Hardened Steel"
Trials,August 16,"Greater Soul, Lightstone, Dayleaf"
Trials,August 17,"Sandstone, Lesser Balorite, Ortanite, Adamantine"
Trials,August 18,"Orichalcum, Mythril"
Trials,August 19,"Elstone, Ancient Stone"
Trials,August 20,"Eyestone, Hardened Steel, Soul, Runestone"
Trials,August 21,"Skystone, Silphium, Wolf's Blood, Firestone"
Trials,August 22,"Avalon Ore, Pure Darkstone, Lyonite, Eyestone, Lightningstone"
Trials,August 23,"Pure Draconite, Leather, Balorite, Fogstone, Scalestone"
Trials,August 24,"Fogstone, Avalon Ore"
Trials,August 25,"Baldur, Pure Darkstone, Cursed Ortanite, Bone"
